cohort_id,drug_id,metric,mean,sd,median,mad,p25,p75,tenant_id,user_id,p10,p90,min,max,p5,p95
1,1,c,0.069754995,0.18543774,0,0,0,0.032043442,NA,NA,0,0.20050639,-1.97E-18,1,0,0.435562
1,2,c,0.09334783,0.17055377,0.021720778,0.032203227,0,0.09223123,NA,NA,0,0.2667205,-1.39E-17,1,0,0.4560986
1,3,c,0.08287559,0.19817781,0.010822022,0.01604473,1.522828e-4,0.06066573,NA,NA,0,0.21884643,-3.91E-19,1,0,0.45268828
1,6,c,0.28139177,0.36350226,0.01876642,0.027823094,0,0.5469284,NA,NA,0,0.99937147,-6.94E-18,1,0,1
1,7,c,0.42807952,0.44163865,0.2779734,0.41212338,0,1,NA,NA,0,1,0,1,0,1
1,8,c,0.38444412,0.3260213,0.31239516,0.36703786,0.10511285,0.63864815,NA,NA,0,0.9020797,0,1,0,1
1,10,c,0.008730892,0.071673505,0,0,0,0,NA,NA,0,0.003179173,-1.90E-21,1,0,0.009215951
1,11,c,0.34117684,0.38860172,0.15837097,0.2348008,0,0.67038554,NA,NA,0,1,0,1,0,1
1,12,c,0.43428305,0.41687137,0.36391222,0.5395363,0,0.90349644,NA,NA,0,1,-3.47E-18,1,0,1
1,13,c,0.12409187,0.27285883,2.0476947e-11,3.0359132e-11,0,0.065617755,NA,NA,0,0.48166594,-1.29E-17,1,0,1
1,14,c,0.16094851,0.31563556,0,0,0,0.1328558,NA,NA,0,0.7360189,0,1,0,1
1,20,c,0.2101335,0.29077962,0.06222593,0.092256166,0,0.31924602,NA,NA,0,0.7203419,0,1,0,0.9248705
1,31,c,0.19850278,0.3663937,0,0,0,0.14632931,NA,NA,0,1,-1.11E-16,1,0,1
1,39,c,0.5614518,0.4391028,0.7424371,0.38186273,0,1,NA,NA,0,1,0,1,0,1
1,50,c,0.40408725,0.42555237,0.19341712,0.2867602,0,0.9369278,NA,NA,0,1,0,1,0,1
1,53,c,0.23197782,0.31496853,0.0759774,0.11264409,0,0.3470095,NA,NA,0,0.8294032,0,1,0,1
1,73,c,0.12457713,0.18192975,0.059806444,0.08866903,0,0.17007856,NA,NA,0,0.36906108,0,1,0,0.5125493
1,115,c,0.37763542,0.4048334,0.25053483,0.37144294,0,0.78807765,NA,NA,0,1,0,1,0,1
1,1,norm_logAUC,0.474045,0.14854561,0.45169896,0.117731035,0.373811,0.53216815,NA,NA,0.32328874,0.63287145,0.17347442,1,0.29971132,0.74402887
1,2,norm_logAUC,0.6322361,0.16952574,0.63384366,0.15984093,0.5259443,0.73901314,NA,NA,0.4094482,0.8589379,0.1397637,1,0.34455848,0.9192226
1,3,norm_logAUC,0.7023909,0.094650984,0.70097065,0.0806739,0.6346702,0.7488107,NA,NA,0.5980665,0.8061161,0.42870533,1,0.5775754,0.8789414
1,6,norm_logAUC,0.8235068,0.15222603,0.85971457,0.15207605,0.72478604,0.94884765,NA,NA,0.60773623,1,0.34539086,1,0.53022724,1
1,7,norm_logAUC,0.9012418,0.1495472,0.9722264,0.041177157,0.8572031,1,NA,NA,0.7096142,1,0.069006175,1,0.5750713,1
1,8,norm_logAUC,0.72285104,0.18643565,0.7104475,0.22385128,0.58613527,0.88943374,NA,NA,0.48398226,0.99926364,0.26245078,1,0.41997477,1
1,10,norm_logAUC,0.630257,0.09065771,0.63106334,0.08858841,0.5767506,0.69567615,NA,NA,0.5148578,0.73155123,0.34102046,1,0.49136934,0.74841493
1,11,norm_logAUC,0.8853247,0.10627866,0.90051776,0.120922215,0.8174552,0.98089933,NA,NA,0.745958,1,0.39929253,1,0.70354366,1
1,12,norm_logAUC,0.8257775,0.19852358,0.9045463,0.14151959,0.7150862,0.9981011,NA,NA,0.5072366,1,0.15001471,1,0.44265485,1
1,13,norm_logAUC,0.60182005,0.1896531,0.56676906,0.12723131,0.49348968,0.6816663,NA,NA,0.38641232,0.97018206,0.047887355,1,0.32951927,1
1,14,norm_logAUC,0.5600947,0.20736925,0.5201898,0.1505686,0.42517924,0.6311638,NA,NA,0.32504287,0.9959684,0.1400438,1,0.27495193,1
1,20,norm_logAUC,0.6440218,0.20820788,0.62280107,0.22114727,0.50181365,0.81397265,NA,NA,0.37077832,0.94124556,0.099931315,1,0.3058319,0.9887899
1,31,norm_logAUC,0.8374405,0.13837323,0.85575515,0.0954203,0.794388,0.9235864,NA,NA,0.6805308,1,0.058891326,1,0.55920166,1
1,39,norm_logAUC,0.9256127,0.09838592,0.97091556,0.043120567,0.8827055,1,NA,NA,0.79494536,1,0.46689537,1,0.7372359,1
1,50,norm_logAUC,0.88350195,0.11498074,0.8970421,0.1446976,0.8123645,0.9966539,NA,NA,0.72712034,1,0.44562924,1,0.6715226,1
1,53,norm_logAUC,0.84761626,0.106975146,0.85094035,0.099236056,0.788804,0.93257856,NA,NA,0.7300439,0.9833592,0.38278598,1,0.6930109,1
1,73,norm_logAUC,0.6341475,0.1387753,0.63385564,0.12025788,0.5495661,0.70723665,NA,NA,0.46813363,0.81291217,0.24282916,1,0.43077737,0.8770514
